,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,win,loss,tie
488,3.0,4.0,5.0,6.0,7.0,8.0,9.0,19.0,19.0,20.0,256,664,17
489,0.0,0.0,0.0,14.0,0.0,26.0,0.0,38.0,0.0,22.0,506,427,4
490,1.0,9.0,10.0,1.0,16.0,1.0,2.0,28.0,2.0,30.0,746,180,11
491,2.0,2.0,2.0,2.0,15.0,20.0,30.0,1.0,1.0,25.0,628,302,7
492,2.0,2.0,2.0,6.0,8.0,10.0,16.0,17.0,18.0,19.0,190,736,11
493,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.0,31.0,31.0,496,382,59
494,0.0,0.0,0.0,0.0,18.0,20.0,28.0,0.0,0.0,34.0,698,228,11
495,4.0,4.0,7.0,9.0,11.0,14.0,17.0,20.0,14.0,0.0,297,622,18
497,6.0,8.0,10.0,12.0,14.0,16.0,18.0,7.0,7.0,2.0,530,394,13
498,1.0,3.0,4.0,7.0,9.0,11.0,13.0,15.0,16.0,21.0,151,773,13
499,0.0,0.0,0.0,5.0,7.0,18.0,18.0,18.0,20.0,14.0,288,639,10
500,2.0,3.0,6.0,11.0,22.0,22.0,23.0,3.0,3.0,5.0,512,395,30
501,1.0,5.0,0.0,3.0,16.0,16.0,16.0,19.0,22.0,2.0,411,520,6
502,0.0,9.0,9.0,0.0,19.0,0.0,3.0,29.0,0.0,31.0,707,211,19
503,7.0,11.0,12.0,15.0,16.0,18.0,21.0,0.0,0.0,0.0,490,432,15
504,7.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,672,249,16
505,5.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,34.0,34.0,703,202,32
506,3.0,3.0,5.0,7.0,9.0,12.0,15.0,18.0,15.0,13.0,181,741,15
507,0.0,0.0,0.0,0.0,0.0,15.0,19.0,24.0,23.0,19.0,363,570,4
509,8.0,10.0,10.0,10.0,12.0,25.0,0.0,0.0,0.0,25.0,394,537,6
510,4.0,0.0,6.0,0.0,16.0,0.0,0.0,0.0,36.0,38.0,594,324,19
511,0.0,0.0,20.0,0.0,0.0,0.0,25.0,25.0,0.0,30.0,587,332,18
512,4.0,5.0,6.0,12.0,16.0,18.0,19.0,20.0,0.0,0.0,410,505,22
513,10.0,2.0,2.0,2.0,2.0,2.0,5.0,25.0,25.0,25.0,622,290,25
514,1.0,3.0,3.0,3.0,8.0,8.0,14.0,9.0,25.0,26.0,355,555,27
515,6.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,33.0,33.0,689,221,27
516,0.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0,25.0,0.0,510,414,13
517,1.0,1.0,1.0,6.0,14.0,14.0,14.0,18.0,18.0,13.0,227,698,12
518,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,25.0,0.0,547,383,7
519,1.0,6.0,3.0,11.0,3.0,15.0,21.0,3.0,34.0,3.0,668,259,10
520,0.0,5.0,7.0,9.0,11.0,14.0,17.0,0.0,18.0,19.0,277,633,27
521,0.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0,25.0,0.0,510,414,13
522,0.0,8.0,0.0,0.0,0.0,0.0,28.0,0.0,32.0,32.0,702,223,12
523,1.0,3.0,5.0,7.0,9.0,11.0,13.0,15.0,17.0,19.0,142,770,25
524,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,20.0,20.0,280,645,12
525,0.0,0.0,12.0,1.0,2.0,23.0,3.0,3.0,33.0,23.0,732,192,13
526,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,491,437,9
527,0.0,0.0,0.0,5.0,20.0,25.0,25.0,25.0,0.0,0.0,385,522,30
528,0.0,0.0,1.0,13.0,1.0,2.0,27.0,26.0,23.0,7.0,637,289,11
529,5.0,6.0,13.0,1.0,15.0,1.0,18.0,3.0,3.0,35.0,675,254,8
530,0.0,0.0,2.0,4.0,10.0,15.0,20.0,22.0,23.0,4.0,429,498,10
531,0.0,0.0,0.0,0.0,0.0,17.0,18.0,22.0,22.0,21.0,375,558,4
532,1.0,1.0,3.0,4.0,5.0,12.0,15.0,24.0,24.0,11.0,322,593,22
534,1.0,1.0,1.0,1.0,11.0,14.0,15.0,19.0,19.0,18.0,243,683,11
